pfaf_id,bau30_ws_x_r,bau30_ws_x_s,bau30_ws_x_c,bau30_ws_x_l,bau50_ws_x_r,bau50_ws_x_s,bau50_ws_x_c,bau50_ws_x_l,bau80_ws_x_r,bau80_ws_x_s,bau80_ws_x_c,bau80_ws_x_l,opt30_ws_x_r,opt30_ws_x_s,opt30_ws_x_c,opt30_ws_x_l,opt50_ws_x_r,opt50_ws_x_s,opt50_ws_x_c,opt50_ws_x_l,opt80_ws_x_r,opt80_ws_x_s,opt80_ws_x_c,opt80_ws_x_l,pes30_ws_x_r,pes30_ws_x_s,pes30_ws_x_c,pes30_ws_x_l,pes50_ws_x_r,pes50_ws_x_s,pes50_ws_x_c,pes50_ws_x_l,pes80_ws_x_r,pes80_ws_x_s,pes80_ws_x_c,pes80_ws_x_l,pfaf_prefix
783706,0.000498301,0.0,0.0,Low (<10%),0.000483472,0.0,0.0,Low (<10%),0.000474846,0.0,0.0,Low (<10%),0.000490734,0.0,0.0,Low (<10%),0.000488124,0.0,0.0,Low (<10%),0.000467613,0.0,0.0,Low (<10%),0.000478457,0.0,0.0,Low (<10%),0.000473911,0.0,0.0,Low (<10%),0.000454802,0.0,0.0,Low (<10%),7
783707,3.58e-06,0.0,0.0,Low (<10%),3.42e-06,0.0,0.0,Low (<10%),3.18e-06,0.0,0.0,Low (<10%),3.71e-06,0.0,0.0,Low (<10%),4.41e-06,0.0,0.0,Low (<10%),5.06e-06,0.0,0.0,Low (<10%),3.76e-06,0.0,0.0,Low (<10%),4.55e-06,0.0,0.0,Low (<10%),5.68e-06,0.0,0.0,Low (<10%),7
783708,1.03e-06,0.0,0.0,Low (<10%),1.01e-06,0.0,0.0,Low (<10%),1.02e-06,0.0,0.0,Low (<10%),1.01e-06,0.0,0.0,Low (<10%),1.04e-06,0.0,0.0,Low (<10%),1.02e-06,0.0,0.0,Low (<10%),1.03e-06,0.0,0.0,Low (<10%),9.87e-07,0.0,0.0,Low (<10%),9.59e-07,0.0,0.0,Low (<10%),7
783709,0.000455411,0.0,0.0,Low (<10%),0.000450027,0.0,0.0,Low (<10%),0.000415339,0.0,0.0,Low (<10%),0.000460519,0.0,0.0,Low (<10%),0.000527959,0.0,0.0,Low (<10%),0.000584782,0.0,0.0,Low (<10%),0.000470003,0.0,0.0,Low (<10%),0.00052216,0.0,0.0,Low (<10%),0.000594382,0.0,0.0,Low (<10%),7
783801,1.08e-06,0.0,0.0,Low (<10%),9.91e-07,0.0,0.0,Low (<10%),9.11e-07,0.0,0.0,Low (<10%),1.04e-06,0.0,0.0,Low (<10%),9.25e-07,0.0,0.0,Low (<10%),8.79e-07,0.0,0.0,Low (<10%),1.02e-06,0.0,0.0,Low (<10%),9.78e-07,0.0,0.0,Low (<10%),8.48e-07,0.0,0.0,Low (<10%),7
783803,0.000154987,0.0,0.0,Low (<10%),0.000144343,0.0,0.0,Low (<10%),0.000126792,0.0,0.0,Low (<10%),0.000154196,0.0,0.0,Low (<10%),0.000148463,0.0,0.0,Low (<10%),0.000159271,0.0,0.0,Low (<10%),0.000157981,0.0,0.0,Low (<10%),0.000165457,0.0,0.0,Low (<10%),0.000161276,0.0,0.0,Low (<10%),7
783802,0.000484034,0.0,0.0,Low (<10%),0.000439424,0.0,0.0,Low (<10%),0.000398739,0.0,0.0,Low (<10%),0.000470835,0.0,0.0,Low (<10%),0.000486709,0.0,0.0,Low (<10%),0.000491911,0.0,0.0,Low (<10%),0.000473518,0.0,0.0,Low (<10%),0.000494139,0.0,0.0,Low (<10%),0.000511177,0.0,0.0,Low (<10%),7
783805,0.000600839,0.0,0.0,Low (<10%),0.000532087,0.0,0.0,Low (<10%),0.000464487,0.0,0.0,Low (<10%),0.000579124,0.0,0.0,Low (<10%),0.000608119,0.0,0.0,Low (<10%),0.000646326,0.0,0.0,Low (<10%),0.000586499,0.0,0.0,Low (<10%),0.000668172,0.0,0.0,Low (<10%),0.000569955,0.0,0.0,Low (<10%),7
783804,1.58e-07,0.0,0.0,Low (<10%),1.44e-07,0.0,0.0,Low (<10%),1.35e-07,0.0,0.0,Low (<10%),1.52e-07,0.0,0.0,Low (<10%),1.45e-07,0.0,0.0,Low (<10%),1.3e-07,0.0,0.0,Low (<10%),1.5e-07,0.0,0.0,Low (<10%),1.5e-07,0.0,0.0,Low (<10%),1.16e-07,0.0,0.0,Low (<10%),7
783807,3.74e-05,0.0,0.0,Low (<10%),3.12e-05,0.0,0.0,Low (<10%),3.45e-05,0.0,0.0,Low (<10%),3.45e-05,0.0,0.0,Low (<10%),3.06e-05,0.0,0.0,Low (<10%),2.93e-05,0.0,0.0,Low (<10%),3.36e-05,0.0,0.0,Low (<10%),3.34e-05,0.0,0.0,Low (<10%),2.92e-05,0.0,0.0,Low (<10%),7
