state,state_abb,county,county_id,dc_count,total_sqft,bws_score,bws_category,mean_lat,mean_lon,bws_label
North Carolina,NC,Mecklenburg County,119,5,269826.0,4.075608978118933,High,35.192244492454066,-80.89466796551605,High (40-80%)
California,CA,Alameda County,1,5,281664.0,1.292202410374085,Low-Medium,37.60127129322265,-121.98741264243554,Low-Medium (10-20%)
Ohio,OH,Cuyahoga County,35,5,1346834.0,1.8999682203212598,Low-Medium,41.451490020105126,-81.71583697219667,Low-Medium (10-20%)
Tennessee,TN,Montgomery County,125,5,27291129.0,3.3674817932250876,High,36.62526917548795,-87.26015325044888,High (40-80%)
Missouri,MO,Platte County,165,5,461287.0,0.0,Low,39.29485540390415,-94.67944089928903,Low (<10%)
California,CA,San Diego County,73,5,225287.0,5.0,Extremely High,32.86927492255156,-117.15359226558724,Extremely High (>80%)
Tennessee,TN,Williamson County,187,5,2264501.0,1.0785172708954278,Low-Medium,35.95839151902044,-86.82093380793354,Low-Medium (10-20%)
California,CA,Sacramento County,67,5,667884.0,2.1766000525878764,Medium-High,38.63674348032397,-121.44871105137922,Medium-High (20-40%)
Illinois,IL,DeKalb County,37,4,14250374.0,3.5065992749287624,High,41.889282386706164,-88.72695900544676,High (40-80%)
Colorado,CO,El Paso County,41,4,384181.0,4.59322018849742,Extremely High,38.8908665376238,-104.72103808017872,Extremely High (>80%)
Florida,FL,Miami-Dade County,86,4,138536.0,1.4953497260812074,Low-Medium,25.754507595264226,-80.29107303357445,Low-Medium (10-20%)
North Carolina,NC,Catawba County,35,4,6405975.0,3.630178111042341,High,35.58855906904524,-81.2622945675048,High (40-80%)
Michigan,MI,Wayne County,163,4,96705.0,0.867013331415511,Low,42.27541864724242,-83.19727487857696,Low (<10%)
North Carolina,NC,Rutherford County,161,4,5654641.0,3.7339284936599184,High,35.31596413083558,-81.8245863241718,High (40-80%)
Tennessee,TN,Sumner County,165,4,18924827.0,0.0,Low,36.40947963729253,-86.36814896444976,Low (<10%)
North Carolina,NC,Wake County,183,4,197286.0,3.98741743575893,High,35.795398996198,-78.65090473344475,High (40-80%)
Washington,WA,Snohomish County,61,4,131773.0,1.2048964187184104,Low-Medium,47.87191940425161,-122.26673516354523,Low-Medium (10-20%)
Georgia,GA,Gwinnett County,135,4,2155213.0,2.602843493036909,Medium-High,34.01587195020962,-84.09415164260722,Medium-High (20-40%)
New York,NY,New York County,61,4,73187.0,0.2774455531547891,Low,40.71853201509351,-74.00586215769366,Low (<10%)
Pennsylvania,PA,Montgomery County,91,4,207540.0,2.7631098605069795,Medium-High,40.122269164190065,-75.41171606294263,Medium-High (20-40%)
Georgia,GA,Newton County,217,4,10799048.0,2.0665705041913416,Medium-High,33.60006179990616,-83.69940285716183,Medium-High (20-40%)
Nevada,NV,Storey County,29,4,1316320.0,2.8825814263827128,Medium-High,39.51338855664681,-119.48081597257064,Medium-High (20-40%)
California,CA,San Francisco County,75,4,178784.0,1.292202410374085,Low-Medium,37.770244371863456,-122.39313555076743,Low-Medium (10-20%)
New York,NY,Rockland County,87,4,794279.0,1.9167738527294185,Low-Medium,41.04075702766356,-73.98118707064012,Low-Medium (10-20%)
New York,NY,Albany County,1,3,25820.0,0.2871564849491788,Low,42.710141654448705,-73.77686994256537,Low (<10%)
Tennessee,TN,Davidson County,37,3,295258.0,1.0785172708954278,Low-Medium,36.12950462088934,-86.72854293452728,Low-Medium (10-20%)
Alabama,AL,Jackson County,71,3,7869085.0,0.3363375704394172,Low,34.91390068744834,-85.74720810589832,Low (<10%)
Minnesota,MN,Dakota County,37,3,10936720.0,0.4182247085326207,Low,44.73476568953532,-93.0631226744187,Low (<10%)
Missouri,MO,St. Louis city,510,3,71651.0,0.0,Low,38.631863806510545,-90.21632949719351,Low (<10%)
Minnesota,MN,Hennepin County,53,3,253525.0,3.373531211436855,High,45.035490300901635,-93.30735724328906,High (40-80%)
Missouri,MO,Clay County,47,3,14440116.0,0.0,Low,39.3225466357945,-94.59618197761635,Low (<10%)
New Jersey,NJ,Passaic County,31,3,241537.0,0.4420617892713952,Low,40.8313217511459,-74.13049407281522,Low (<10%)
Oklahoma,OK,Tulsa County,143,3,423416.0,1.3490977030788038,Low-Medium,36.14775700124065,-95.86748769857816,Low-Medium (10-20%)
Virginia,VA,Fauquier County,61,3,252611.0,3.5565707271080385,High,38.74095977928594,-77.77550296251273,High (40-80%)
North Carolina,NC,Durham County,63,3,0.0,3.5430471101925107,High,35.92195343333332,-78.88055229999999,High (40-80%)
Colorado,CO,Denver County,31,3,68594.0,4.7538599910416925,Extremely High,39.745590779276334,-104.98972740796573,Extremely High (>80%)
Florida,FL,Hillsborough County,57,3,127975.0,3.5278708057746346,High,28.018895643153105,-82.41982585806913,High (40-80%)
Wisconsin,WI,Milwaukee County,79,3,26099.0,2.59442197919632,Medium-High,42.972165240575976,-87.96429966735525,Medium-High (20-40%)
Washington,WA,Pierce County,53,3,2058250.0,0.269117792013945,Low,47.159763659451926,-122.27961736394336,Low (<10%)
Washington,WA,Spokane County,63,3,53919.0,1.828663069389339,Low-Medium,47.64025286407209,-117.3510283297973,Low-Medium (10-20%)
Idaho,ID,Ada County,1,3,16637565.0,3.902572832356661,High,43.46321305707056,-116.2692733542787,High (40-80%)
Washington,WA,Chelan County,7,3,722991.0,0.0,Low,47.3584518836141,-120.15987096078061,Low (<10%)
Florida,FL,Alachua County,1,2,36370.0,3.627764763128227,High,29.672704916645593,-82.29984584686127,High (40-80%)
Connecticut,CT,Western Connecticut Planning Region,190,2,88304.0,0.2774455531547891,Low,41.102462578168684,-73.45268251684278,Low (<10%)
Colorado,CO,Douglas County,35,2,226904.0,4.7538599910416925,Extremely High,39.559021287562004,-104.8355705377604,Extremely High (>80%)
New Hampshire,NH,Rockingham County,15,2,17049.0,0.2835730484401062,Low,43.0291051738006,-70.87931776262452,Low (<10%)
New York,NY,Richmond County,85,2,133434.0,4.0071644631985945,Extremely High,40.607182725924815,-74.17403311264957,Extremely High (>80%)
Massachusetts,MA,Middlesex County,17,2,257625.0,2.0421183398488143,Low-Medium,42.50348393925698,-71.19209066303267,Low-Medium (10-20%)
New Jersey,NJ,Essex County,13,2,197220.0,0.4420617892713952,Low,40.779089649313164,-74.15405547657126,Low (<10%)
Oregon,OR,Marion County,47,2,71065.0,0.0,Low,44.93228941404229,-123.01777344523597,Low (<10%)
South Dakota,SD,Minnehaha County,99,2,299088.0,3.2603331668730178,High,43.60344267195715,-96.80195094737519,High (40-80%)
Ohio,OH,Hamilton County,61,2,42608.0,0.0,Low,39.19837151885261,-84.46500537545603,Low (<10%)
Wisconsin,WI,Dane County,25,2,9176.0,3.3883723120566427,High,43.067502439369605,-89.41450769067761,High (40-80%)
California,CA,Orange County,59,2,122723.0,5.0,Extremely High,33.71214217896285,-117.82495257440516,Extremely High (>80%)
New York,NY,Niagara County,63,2,77801.0,0.0,Low,43.07844705215735,-78.98776219925386,Low (<10%)
Ohio,OH,Warren County,165,2,281216.0,0.0,Low,39.34645727552941,-84.26672766841791,Low (<10%)
Florida,FL,Broward County,11,2,122813.0,3.3810442717031446,High,26.18754133015962,-80.24010629620355,High (40-80%)
New York,NY,Erie County,29,2,41938.0,0.0,Low,43.01759292539782,-78.78079523595645,Low (<10%)
Tennessee,TN,Shelby County,157,2,1738567.0,0.0,Low,35.028971635202296,-90.09565980021834,Low (<10%)
