pfaf_id,bws_annual_mean_raw,bws_annual_mean_score,bws_annual_max_raw,bws_annual_max_score,bws_summer_mean_raw,bws_summer_mean_score,n_arid_months,n_raw_masked_months,bwd_annual_mean_raw,bwd_annual_mean_score,iav_annual_mean_raw,iav_annual_mean_score,is_arid,bws_category,bws_annual_label,pfaf_prefix
111011,,5.0,,5.0,,5.0,0,12,,5.0,2.0657307609351943,4.875600223101206,False,Extremely High,Extremely High (>80%),1
111012,,,,,,,12,12,,,0.0012827817284327082,0.005131126913730858,True,Arid,Arid and Low Water Use,1
111013,,,,,,,12,12,,,0.00128278432570795,0.005131137302831817,True,Arid,Arid and Low Water Use,1
111014,,,,,,,12,12,,,0.0012827819770911246,0.005131127908364523,True,Arid,Arid and Low Water Use,1
111015,,,,,,,12,12,,,1.9662058122623456,4.645564530441003,True,Arid,Arid and Low Water Use,1
111016,,,,,,,12,12,,,1.246563547456306,4.986254189825224,True,Arid,Arid and Low Water Use,1
111017,,,,,,,12,12,,,0.994040817029859,3.976163268119436,True,Arid,Arid and Low Water Use,1
111018,,,,,,,12,12,,,1.6164784085049078,5.0,True,Arid,Arid and Low Water Use,1
111019,,,,,,,12,12,,,2.3733726425119697,5.0,True,Arid,Arid and Low Water Use,1
111020,,,,,,,12,12,,,0.47317603893820076,1.892704155752803,True,Arid,Arid and Low Water Use,1
111030,,,,,,,12,12,,,1.4404302696378277,4.874107736993884,True,Arid,Arid and Low Water Use,1
111041,,,,,,,12,12,,,0.4680185078447698,1.8720740313790794,True,Arid,Arid and Low Water Use,1
111042,,,,,,,12,12,,,1.2200843341170777,4.880337336468311,True,Arid,Arid and Low Water Use,1
111043,,,,,,,12,12,,,2.192483589968751,5.0,True,Arid,Arid and Low Water Use,1
111044,,,,,,,12,12,,,0.25936438812514084,1.0374575525005636,True,Arid,Arid and Low Water Use,1
111045,,,,,,,12,12,,,1.4497438090596815,2.164372707696453,True,Arid,Arid and Low Water Use,1
111046,,,,,,,12,12,,,1.419848332173226,5.0,True,Arid,Arid and Low Water Use,1
111047,,,,,,,12,12,,,2.897594347036833,5.0,True,Arid,Arid and Low Water Use,1
111048,,,,,,,12,12,,,0.9928105971095763,3.9712423884383052,True,Arid,Arid and Low Water Use,1
111049,,,,,,,12,12,,,0.7466310823146048,2.9087811568202433,True,Arid,Arid and Low Water Use,1
111050,,,,,,,12,12,,,0.251439319473122,1.0057572778924881,True,Arid,Arid and Low Water Use,1
111060,,,,,,,12,12,,,0.532466450358883,2.129865801435532,True,Arid,Arid and Low Water Use,1
111070,,5.0,,5.0,,5.0,0,12,,5.0,0.4993497527757313,1.9973990111029252,False,Extremely High,Extremely High (>80%),1
111081,0.8217089393552459,3.492965317661661,1.9508284120598336,5.0,0.7011183438234682,2.0706455796496575,0,2,0.18457800766203653,1.9715014001585658,1.1324132721270332,4.379061739441963,False,High,High (40-80%),1
111082,0.0041667916492718,3.3333333333333335,0.0110663010789085,5.0,0.00142472907731905,1.6666666666666667,0,8,0.004166923075786149,3.361112820505241,0.9873998747173044,3.859778580011604,False,High,High (40-80%),1
111083,0.004176416819094391,0.0,0.0070339095403811,0.0,0.0015776463190309332,0.0,0,0,0.004176199911188225,0.08352399822376556,0.925396868906903,3.633256685592675,False,Low,Low (<10%),1
111084,0.10721002642347263,3.306356790956478,0.2531416282592648,5.0,0.0908023202710526,0.778778906114732,0,7,0.04502677248791152,3.152522024629166,0.790777403269057,3.152938494860365,False,High,High (40-80%),1
111085,0.00106596756228926,2.9166666666666665,0.0023409160667871,5.0,0.0008088347268304999,0.0,0,7,0.0010652068167858,2.9255433901398824,0.6550933133230639,2.620373253292256,False,Medium-High,Medium-High (20-40%),1
111086,0.0011567084739019667,2.5,0.0025963531543954,5.0,0.0005589814500014,0.0,0,6,0.0008830015054669668,2.5088300150546705,0.7421049803898557,2.968419921559423,False,Medium-High,Medium-High (20-40%),1
111087,,,,,,,12,12,,,0.6945544393261697,2.7782177573046787,True,Arid,Arid and Low Water Use,1
111088,,,,,,,12,12,,,0.7111275545148569,2.8445102180594275,True,Arid,Arid and Low Water Use,1
111089,,,,,,,12,12,,,0.5967893202376452,2.3871572809505808,True,Arid,Arid and Low Water Use,1
